pno,spoolno,title,filename,duration,txdate,english,welsh,subject,keystage,description,keywords,epid
ESBV261E ,WG5777  ,LANDMARKS :THE RIVER SEVERN:THE COURSE OF THE RIVER ,hwb_courseoftheriver_esbv261e,19:00,1 Jun 1997,Eng,,GEOGRAPHY,KS2,First in a series of 5 geography programmes which travel the length of the River Severn for 9-11 year olds. This programme looks at the physical geography of the river from source to mouth and the natural state of it including sources.,"Rivers, River Severn, River formation, Floods, meanders, River source, River course, Upper course, Severn Bore, Waterfall formation,Meanders, Middle course of river, Erosion, Physical geography",p00fgsk7
PCAC151N,WG3298,TARO NAW : 4:OIL SPILL,hwb_oilspill_pcac151n,25:30,4 Jan 1996,,Welsh,GEOGRAPHY,KS2 KS3,Ioan Wyn Evans reports on the economic and environmental effects of the Sea Empress oil disaster in Pembrokeshire  and compares it with the Braer disaster a few years before.,"Environmental issues, Sea Empress, Tourism, Fishing, Economic activity, Pollution",NO PID
PCEM020S,WG11323 ,WWW.CYMRU:1.,hwb_www1_pcem020s,15:00,1 Oct 2002,,Welsh,HISTORY,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme. Featuring a look at the life of the ancient Celts as they lived their lives in Wales.","Celts, Everyday life, Ironwork, Flour making, Celtic cookery, Henllys Celtic village, Celtic reconstructions, Hillfort, Iron Age, Round houses,",NO PID
PCEM021L,WG11324 ,WWW.CYMRU:2.,hwb_www2_pcem021l,15:00,1/17/02,,Welsh,HISTORY WELSH 2ND LANGUAGE WELSH 1ST LANGUAGE,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme.",NOT CLIPPED,NO PID
PCEM022F,WG12787 ,WWW.CYMRU:3,hwb_www3_pcem022f,15:00,1/24/02,,Welsh,HISTORY,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme. A look at the slate industry of North Wales and its history including the three year long strike at the Penrhyn Quarry in Bethesda in 1900.","Industrial Wales and Britain, Slate industry, Penrhyn Strike,History of industrial disputes, Industries of Wales, Bethesda, Lock out, Lord Penrhyn,",NO PID
PCEM023A,WG12777,WWW.CYMRU:4,hwb_www4_pcem023a,15:00,1/31/02,,Welsh,HISTORY WELSH 2ND LANGUAGE,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme.  2 features of Welsh history are covered here - the Tudors in Wales and the troubled history of Welsh emigration in the 19th century particularly to the new world of America. ","Tudors and Stuarts, Literature, Physicians of Myddfai,Tudors,Legends, Emigration, Welsh Americans, Welsh emigration, New York, Sea journeys, Emigration to America,",NO PID
PCEM024T,WG12778,WWW.CYMRU:5,hwb_www5_pcem024t,15:00,2 Jul 2002,,Welsh,HISTORY,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme.",NOT CLIPPED,NO PID
PCEM025N,WG12791 ,WWW.CYMRU:6,hwb_www6_pcem025n,15:00,2/21/02,,Welsh,HISTORY WELSH 2ND LANGUAGE WELSH 1ST LANGUAGE,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme.. Features a look at the drowning of the valley at Tryweryn including the Welsh speaking village of Capel Celyn in 1965 by Liverpool City Council and the protests and bombs that greeted the plans from the early 1960's on.","Tryweryn, Capel Celyn, History of the Welsh Language, Welsh Language Protests, Water industry, Welsh language politics, Bombing, Liverpool, Gwynfor Evans, Plaid Cymru, Cymdeithas yr iaith Gymraeg,",NO PID
PCEM026H,WG12779  ,WWW.CYMRU:7,hwb_www7_pcem026h,15:00,2/28/02,,Welsh,HISTORY,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme. Features a look at the life of the Romans in Wales, including the lifestyle of the Roman soldier forced to live in a foreign land far from his home.","Romans, Everyday life, Roman soldiers, Roman legions, Salary, Payment by salt, Romans in Wales,",NO PID
PCEM027B ,WG12790 ,WWW.CYMRU:8,hwb_www8_pcem027b,15:00,3 Jul 2002,,Welsh,HISTORY,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme. Features a look at industrial Wales with items on the steel and iron industries.","Industrial Wales and Britain, Steel industry, Iron industry, Ironworks, Steelworks, History of employment",NO PID
PCEM028W ,WG12788  ,WWW.CYMRU:9,hwb_www9_pcem028w,15:00,3/14/02,,Welsh,HISTORY,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme.",NOT CLIPPED,NO PID
PCEM029P,WG12789 ,WWW.CYMRU:10,hwb_www10_pcem029p,15:00,3/21/02,,Welsh,HISTORY,KS2,"Attempt to answer the basic questions - who, where, how, why and what - with respect to Wales in this lively and contemporary programme. Features a look at the life of the Romans in Wales, including the lifestyle of the Roman soldier forced to live in a foreign land far from his home. Explores the archaeological digs around the Roman city at Caerwent with a look at lifestyles uncovered there in what was then Wales' largest city.","Romans, Celts, Venta Silurium, Caerwent, Roman city, Everyday life, Archaeology, Roman Museum, Chester, Roman writing, Latin, Books and learning, roan towns, Roman architecture,",NO PID
PCEN005K ,WG13814,ANELU AT RAGORIAETH:LLYTHRENNEDD.,hwb_anelullythrennedd_pcen005k,30:0,11/27/03,,Welsh,LITERACY,KS3,Programme for teachers and policy makers looking at literacy and highlighting examples of good practise in schools throughout Wales. It offers an opportunity for teachers to share in and learn from the experiences of others.,NOT CLIPPED,NO PID
PCEP012D ,WG15227   ,TACTEG GWYDDONIAETH CA2:1,hwb_tacteggwydd1_pcep012d,15:00,2/24/04,,Welsh,SCIENCE,KS2,A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. This programme focusses on the theme of reproduction in plants.,"Life processes and living things, Green plants as organisms, Plants, Germination, Life processes, Reproduction in plants, Life cycles, Seed dispersal, Life cycle of a flowering plant,  pollination, Seed, Roots,",NO PID
PCEP013X,WG15231 ,TACTEG GWYDDONIAETH CA2:2,hwb_tacteggwydd2_pcep013x,15:00,2/26/04,,Welsh,SCIENCE,KS2,A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. This programme focusses on the theme of living things in their environment.,"Life processes and living things, Living things in their environment, Food chains, Feeding relationships, Habitats, Sea shore, Predators",NO PID
PCEP014R ,WG15230,TACTEG GWYDDONIAETH CA2:3,hwb_tacteggwydd3_pcep014r,15:00,3 Feb 2004,,Welsh,SCIENCE,KS2,A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. This prgramme looks at the themes covered under the life processes and living things module.,"Life processes and living things, Human beings and other animals, Human development, Living things, Babies, Children, Adults",NO PID
PCEP015K,WG15226  ,TACTEG GWYDDONIAETH CA2:4,hwb_tacteggwydd4_pcep015k,15:00,3 Apr 2004,,Welsh,SCIENCE,KS2,A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. This programme focusses on the changing materials theme.,"Materials and their properties, Changing materials, Solids liquids and gases, Irreversible changes, ",NO PID
PCEP016E,WG15229,TACTEG GWYDDONIAETH CA2:5,hwb_tacteggwydd5_pcep016e,15:00,3 Sep 2004,,Welsh,SCIENCE,KS2,A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. This programme focusses on the following theme - changing materials.,"Materials and their properties, Changing materials, Life processes, Materials, Melt, Solidify, Reverse, Irreversible changes, Physical processes, Evaporation,",NO PID
PCEP017Y  ,WG15228,TACTEG GWYDDONIAETH CA2:6,hwb_tacteggwydd6_pcep017y,13:38,2/22/05,,Welsh,SCIENCE,KS2,A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. Programme focusses on the theme of forces and motion.,"Physical processes, Forces and movement,friction, Air resistance,  Velocity, Acceleration,  Forces and motion",NO PID
PCEP018S ,WG15237,TACTEG GWYDDONIAETH CA2:7.,hwb_tacteggwydd7_pcep018s,15:00,3/16/04,,Welsh,SCIENCE,KS2,"A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. Series covers the following themes: Forces and motion, Light and sound, Reproduction in plants, Changing materials","Physical processes, Forces and movement, Light and sound, Gravity, Forces, Life processes, The Earth and beyond, The Moon, Ligfht sources, Reflection, Refraction",NO PID
PCEP019L ,WG15239,TACTEG GWYDDONIAETH CA2:8.,hwb_tacteggwydd8_pcep019l,15:00,3/18/04,,Welsh,SCIENCE,KS2,A chance for KS2 pupils to revise and consolidate scientific terms and key concepts - The programme separates the content into short and rememberable clips using a combination of rich film content and lively graphics. Prgamme focusses on the theme of light and sound.,"Physical processes, The Earth and beyond, Light and sound, the Sun, Solar system, Planets,  Life processes, Changing materials, Sound sources, Light sources ",NO PID
PCEP027P ,WG15591 ,ANELU AT RAGORIAETH Technoleg (TGCH),hwb_anelutechnoleg_pcep027p,30:0,2/25/04,,Welsh,ICT,KS3,"New series of a programme for schools. In this programme, tips for improving pupils' ICT skills. ",NOT CLIPPED,NO PID
PCER022D,WG19375 ,CREFYDDAU'R BYD:1:IDDEWIAETH.,hwb_crefyddiddewiaeth_pcer022d,13:58,2/24/05,,Welsh,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures , the programme gives an insight into the lives of children raised in Jewish families.","NOT CLIPPED; SUGGEST  Religion, History of religion, Judaism, Jewishness,Meaning and purpose of life, religious experience, Search for meaning",NO PID
PCER023X ,WG19374  ,CREFYDDAU'R BYD:2:CRISTNOGAETH,hwb_crefyddcristnog_pcer023x,14:02,3 Mar 2005,,Welsh,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures , the programme gives an insight into the lives of children in a Christian family.","NOT CLIPPED; SUGGEST  Religion, History of religion, Christianity, Worship in Wales,Meaning and purpose of life, religious experience, Search for meaning",NO PID
PCER024R,WG19376 ,CREFYDDAU'R BYD:3:ISLAM,hwb_crefyddislam_pcer024r,14:04,3 Oct 2005,,Welsh,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures , the programme gives an insight into the lives of children raised in a Muslim family.","NOT CLIPPED; SUGGEST  Religion, History of religion, Islam, Muslim, Worship in Wales,Meaning and purpose of life, religious experience, Search for meaning",NO PID
PCER025K,WG19373,CREFYDDAU'R BYD:4:SICIAITH.,hwb_crefyddsiciaeth_pcer025k,14:03,3/17/05,,Welsh,"RE, PHSE",KS2 KS3,"Exploring one of the four main world religions as it is lived and practised in Wales. Focussing on understanding and respecting other cultures , the programme gives an insight into the lives of children raised in Sikh families.","NOT CLIPPED; SUGGEST  Religion, History of religion,Sikhism, Worship in Wales,Meaning and purpose of life, religious experience, Search for meaning",NO PID
PCER038J ,WG17254,ANELU AT RAGORIAETH:TROSGLWYDDO..,hwb_anelutrosglwyddo_pcer038j,29:15,11 Mar 2004,,Welsh,ALL,KS2 KS3,Programme which aims is to provide guidance to teachers and school policymakers on how to support pupils' transition from KS2 to KS3. It will exemplify successful transition based on continuity and progression. The programme will look at examples of best practise from primary and secondary schools in building up and maintaining momentum across KS2 and KS3.,NOT CLIPPED,NO PID
